GeneSymbol	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
CCND2	5208.20969695106	NA	NA	NA	0	13565.0714890195	NA	0	NA	NA	NA	18546.3714285056	0	NA	NA	NA	0	NA	NA	NA	0	NA
CCR10	NA	NA	NA	NA	0	NA	0	NA	0	NA	NA	NA	NA	390.981236824103	NA	NA	0	NA	NA	NA	NA	NA
CCR2	NA	699.61963989512	NA	597.941402641789	0	761.089527005394	258.932502192946	0	995.436314523104	NA	0	0	NA	NA	708.360066975132	0	0	NA	0	0	0	0
CCR3	0.842579618072295	NA	NA	8.90939617457954	0	35.1593867520974	13.0192156274562	NA	NA	34.5360638616657	0	NA	0	NA	NA	0	0	NA	0	97.133061319952	0	107.88016679017
CCR5	1	NA	NA	3216.05011532111	1	1	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	1
CCR6	110.390389608813	178.312495645739	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCR7	8712.92748741505	12612.9267480011	NA	NA	NA	1	1	1	11088.2943037968	1	1	1	1	1	1	1	1	NA	1	1	1	1
CD160	91.5849107756218	NA	NA	62.8767974895183	NA	141.391196099814	NA	NA	0	350.721727289507	NA	NA	NA	22.4612853566438	78.4409939152976	47.4957008062533	NA	0	97.5409500204289	NA	NA	0
CD180	1720.4856962366	2695.31736862338	NA	1	1	NA	NA	1	1	1	1	1	2373.03670332098	NA	1	332.195307065552	NA	1	1	1	NA	1
CD19	7304.58597697844	9679.10886346505	NA	1	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1
CD1A	NA	1	NA	1	NA	1	NA	1	1	1	1	NA	1	NA	1	1	6493.97854969626	NA	NA	NA	1	NA
CD1B	1	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	1	NA	NA	1	1631.15283558667	NA	1	1	1	1
CD1C	2519.26092181277	4186.61161727268	NA	NA	NA	1	NA	1	1	1	1	NA	NA	NA	NA	1	5494.21912367387	1	1	1	1	1
CD1D	1019.50350211921	1815.1534429693	NA	NA	NA	NA	0	0	NA	NA	0	NA	2658.30460761777	312.105011023355	933.265662505273	NA	NA	0	NA	NA	NA	0
CD1E	412.000340074511	878.683452408737	NA	NA	NA	325.081491660986	0	0	654.286866365179	NA	0	0	0	NA	NA	0	1977.0982977077	NA	NA	0	0	0
CD2	1	1	NA	12018.4477845102	NA	1	1	1	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1
CD209	1	NA	NA	855.142053718205	NA	NA	NA	1	NA	NA	NA	1	3584.21399412639	NA	1	1824.18580949008	NA	NA	NA	NA	NA	NA
CD22	10805.071651136	8870.89572328653	NA	NA	NA	NA	0	0	NA	NA	15968.7189203531	NA	NA	NA	NA	NA	0	0	NA	0	79117.1012477113	0
CD244	482.332724793392	NA	NA	551.704201454541	0	NA	NA	NA	0	2274.77670593274	0	0	NA	NA	NA	0	NA	0	616.555787215302	NA	NA	0
CD247	1906.96169545163	2550.61249984057	NA	1529.89739511056	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CD27	4782.88473005696	8173.55206212803	NA	7147.59796856757	NA	1	1	1	8891.47915835607	NA	1	1	1	1	1	1	1	1	1	1	1	1
CD28	1116.77225221129	1695.25645529321	NA	291.136334752275	NA	472.232517027705	NA	0	NA	NA	NA	0	1131.79082919753	NA	NA	318.834666399663	0	0	0	NA	NA	0
CD300A	NA	NA	NA	1165.3121125336	NA	NA	1	1	NA	NA	1	1	9412.67843623859	1222.44938662612	1	1147.86036490064	NA	1	1	NA	1	NA
CD33	NA	NA	NA	NA	0	NA	NA	0	0	NA	NA	NA	1674.28428612762	461.202307173831	NA	NA	0	0	NA	0	0	0
CD37	14688.0095638709	18894.8382061839	NA	2620.80638917623	NA	NA	NA	1	13641.2329020812	1	NA	NA	1	NA	1	NA	1	1	1	NA	1	NA
CD38	850.538268793426	NA	NA	1305.73253118012	0	NA	NA	NA	0	NA	0	0	1496.45766192239	NA	1962.94539875429	0	NA	0	0	NA	0	0
CD3D	7477.27823718233	13060.6244279798	NA	9767.55516979032	NA	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1
CD3E	8412.99871094623	13151.0578374995	NA	9501.08938834701	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1
CD3G	1174.93053850142	1929.09726999362	NA	1330.43825283322	NA	1	NA	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1
CD4	NA	NA	NA	8014.46510564192	NA	7057.22405739399	0	0	13380.5922694548	NA	NA	NA	14095.742973245	NA	NA	5598.99017216046	0	0	NA	0	0	0
CD40	6515.97705917387	NA	NA	2214.16412464401	NA	NA	NA	1	NA	NA	NA	NA	12787.1588943959	2966.30409898055	1	NA	1	NA	NA	1	NA	NA
CD40LG	1591.11199179283	2924.84202836691	NA	NA	NA	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1
CD5	3228.08465155668	4621.20877622843	NA	1624.98601020318	NA	NA	NA	0	6704.53669149775	0	0	NA	0	0	0	0	NA	0	0	0	0	0
CD6	1943.45435979304	2837.76648294582	NA	1493.69900258339	NA	1	NA	1	3329.81470296684	NA	1	1	1	1	1	1	1	1	1	1	NA	1
CD68	0	0	NA	NA	0	0	NA	0	NA	NA	NA	1468.57015298726	NA	491.78649127183	0	732.395538547342	NA	0	NA	0	NA	2987.61804727979
CD69	2479.43578548488	4378.78584638836	NA	538.173449905771	NA	710.98099937706	1	1	NA	NA	1	1	NA	1	NA	1	1	NA	1	NA	1	NA
CD7	1	NA	NA	5118.63347383888	NA	1	1	1	1	1	NA	NA	1	1	1	1	1	1	1	NA	1	NA
CD70	1	NA	NA	NA	1	1	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	88146.9679827044	1	NA
CD72	2710.98983122604	2424.4589183032	NA	1919.53768848471	NA	NA	NA	1	NA	NA	NA	1	2794.60827810591	NA	1	NA	1	1	1	NA	1	1
CD79A	42501.437430578	46363.0098190846	NA	NA	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CD79B	18023.8411747585	16692.9896205363	NA	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA
CD80	NA	223.770864042952	NA	95.0862988012579	0	260.871753193313	197.299013204134	0	NA	NA	0	0	NA	40.7996122964359	291.976209518389	NA	0	NA	0	NA	NA	0
CD86	NA	NA	NA	1605.50454178203	0	1283.10531553835	725.482287524801	0	NA	2788.56268205764	0	0	5631.22911453421	484.97845011122	2291.28525464767	825.514722324548	0	0	0	NA	0	0
CD8A	1	1	NA	11473.8075106185	1	1	NA	1	1	NA	1	1	1	1	1	1	1	1	1	NA	NA	1
CD8B	1	1	NA	4882.79114070106	1	1	NA	1	1	NA	NA	1	1	1	1	1	1	1	1	1	1	1
CD96	1005.88079442736	NA	NA	1026.40032396528	NA	733.42156567455	NA	0	955.57290198746	0	0	0	NA	NA	NA	0	0	0	0	NA	NA	NA
CDA	0	0	NA	NA	0	NA	NA	0	0	0	NA	NA	0	NA	0	0	NA	NA	NA	NA	0	15005.522711721
CDC25A	NA	1	NA	1	NA	2207.55416550119	NA	1	1	1	NA	NA	NA	1891.37359667685	1	1518.83244338352	NA	NA	3652.28069035934	NA	1	NA
CDH12	NA	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	NA	NA	0	0	NA	NA	NA	0	0	NA
CDHR1	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	1083.48059066996	NA	NA	NA
