Mixture	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells	P-value	Correlation	RMSE
TCGA.D3.A8GP.06A	0	0	0.0378601521525436	0.165707989652947	0.0615823210532411	0.0383126831384505	0.122725523822935	0.381455477234079	0.0528546891010984	0	0.139501163844705	0	0.442637415626272	0.899786861035869
TCGA.EE.A2MQ.06A	0	0	0.00302805360956068	0.147734661978147	0.0166370280977415	0.0400689673874147	0.172511867520741	0.391196695351605	0.0367693213555722	0	0.192053404699218	0	0.515004764287297	0.856422409012666
TCGA.D3.A2J6.06A	0	0	0.0294214780453115	0.361248029966283	0.0612693079912488	0.071301267155659	0.163151512943688	0.21485005865421	0.0244220411041207	0	0.074336304139479	0	0.595991789384558	0.805333434782074
TCGA.GN.A4U4.06A	0.00903310330280127	0.0363273797739676	0.0453920017309338	0.175472309810178	0.0294380420881654	0.0458579985352839	0.110836265915128	0.322549089757855	0.0406388801050158	0	0.184454928980671	0	0.423896194089695	0.910201495919797
TCGA.D3.A2J9.06A	0.0590751735891245	0	0.0506691333663092	0.0587678990166255	0.143063296477212	0.0583202634426981	0.190854261380594	0.000428701451752092	0	0.279256384599239	0.159564886676445	0	0.379062611828439	0.935215980176736
TCGA.EE.A2MI.06A	0	0	0.0497407657769592	0.11595657328993	0.0671248026285599	0.0575621363828632	0.470647331629231	0.00485992284125985	0.0545366519045714	0.0344207663479219	0.145151049198704	0	0.554222570544012	0.835157029054138
TCGA.D3.A8GJ.06A	0	0	0	0.228911616627677	0.126645921787913	0.0675411306850574	0.196066710784719	0	0.0862596737047321	0.0622540404866393	0.232320905923262	0	0.309725193512698	0.974118999912452
TCGA.GN.A9SD.06A	0.0841809080529581	0.110682843755302	0.0569357663462016	0.20248975655514	0.0357351790129197	0.0819915957984347	0.18939367584493	0.0098751517021753	0	0	0.228715122931938	0	0.507368698835057	0.860906982174055
TCGA.ER.A197.06A	0	0	0.0493598237591614	0.220706151713953	0.105547850325462	0.0566980139839508	0.418963020557017	0.0550041937792749	0.00885810739435	0.0231960652920756	0.0616667731947553	0	0.318636398134328	0.959237395928595
TCGA.GN.A4U9.06A	0	0.00494422893957781	0	0.17385758773605	0.0119201517846659	0.0318867845636544	0.150175596243565	0.551558645263876	0.0120090791727007	0	0.0636479262959107	0	0.531800443105955	0.846887393917017
TCGA.EE.A20C.06A	0	0.0301187308823999	0.0555607295999963	0.231782810656736	0	0.0490562262526099	0.220112148192813	0.250338513706177	0.0671558473526554	0	0.0958749933566118	0	0.318492438135258	0.961874621822395
TCGA.D3.A3C3.06A	0.0130924453328888	0	0.0519410109526415	0.0762815830378281	0.0695728853183631	0.0364931336784474	0.154803566602026	0.416251373974751	0.0491609193592759	0	0.132403081743778	0	0.502816511261759	0.863553569499806
TCGA.FS.A4FD.06A	0	0	0.0326833311165778	0.189717273477571	0.0184261110378497	0.0699132555307641	0.181154028803043	0.331580807013225	0.0329190743801287	0	0.143606118640841	0	0.516275733971662	0.855762559296613
TCGA.EE.A3JI.06A	0	0	0.0671138210086921	0.10911941814964	0.0719903025385114	0.0623009641363748	0.177964992874743	0.329411097577494	0.0512470404615136	0	0.130852363253031	0	0.375445538554724	0.932401487809418
TCGA.EE.A3J8.06A	0	0.0636340589695876	0.0332079282926732	0.210966028544681	0.00146530857080086	0.107401111720349	0.238297108938818	0.245405614785369	0.018896855903094	0	0.0807259842746272	0	0.391509139660842	0.922106183932703
TCGA.EE.A20B.06A	0	0.010932072569921	0.0247196293116455	0.158180710905406	0	0.0604143655424725	0.239521147200178	0.0404638898557654	0.142891237456485	0	0.322876947158126	0	0.479054399645371	0.880908289113598
TCGA.BF.AAP8.01A	0	0.0211968986354126	0.063908527574204	0.168941735654431	0	0.118007487410728	0.277364484807147	0.0447068607060338	0.0883437029822338	0	0.21753030222981	0	0.476330428241328	0.878432080740532
TCGA.FR.A44A.06A	0	0	0.0106274804359262	0.203385139552919	0.0892538962887953	0.0601573919425523	0.30019654284792	0	0.0497745026902928	0.206400167349786	0.0802048788918084	0	0.586109047713891	0.814550262098893
TCGA.EE.A29E.06A	0	0	0.0728378869470203	0.137483366375518	0.0316404185010311	0.0697876773803364	0.158535030799253	0.411174545853792	0.0247984537948636	0	0.093742620348186	0	0.46428594202449	0.885684537159317
TCGA.EE.A2MC.06A	0	0	0	0.14384766319982	0.130186908543383	0.070646029818662	0.331065874636887	0.0416193946850097	0.0710235312023367	0.0666546889759589	0.144955908937942	0	0.416602975234943	0.909975359035435
TCGA.ER.A3ET.06A	0.00643534353068043	0.00637286804190613	0.0558896934603689	0.0801550825675264	0.010153104822242	0.0488283446163865	0.361444092939891	0.181647352514725	0.0286761000045505	0	0.220398017501723	0	0.529521702497969	0.848179876467637
TCGA.EE.A2MG.06A	0.11801192229503	0.104594622920388	0	0.110044089938162	0.00039027256282286	0.111803152608123	0.181631227227759	0.0838260190528916	0.0866990141369333	0	0.202999679257891	0	0.563002349729962	0.828834725958296
TCGA.D3.A2JN.06A	0	0	0.0300563923395524	0.0891454554888777	0	0.03056871664763	0.141096086822385	0.168459422702641	0.105577106443279	0	0.435096819555635	0	0.53801442938617	0.854220062008091
TCGA.EB.A3XE.01A	0	0.00332145729239239	0.0756105037130391	0.108689455083834	0.0876807792263669	0.0949156711367628	0.195009185015549	0.0476586753841896	0.0997872173992032	0	0.287327055748663	0	0.490770620504782	0.871925657462725
TCGA.ER.A19W.06A	0.010343745880631	0	0.0381612075409889	0.332767008804383	0.0940491593622575	0.0630060916444535	0.252194685984028	0.094302054094451	0.0217348913593717	0.00287216971870042	0.0905689856107344	0	0.558445710603633	0.832156031640299
TCGA.BF.A1PZ.01A	0	0	0.032144506224783	0.149957285704143	0.067486592783356	0.0681921237486217	0.17796213008938	0.27887011119364	0.0510993368889657	0	0.17428791336711	0	0.544034340166478	0.839804192051498
TCGA.D3.A8GD.06A	0.0704852568152328	0	0.0397363492466443	0.106524404407516	0	0.0521048732684119	0.176821832051356	0.159646754836654	0.10631084650835	0.0852278205897583	0.203141862276077	0	0.479671613438921	0.876621840743646
TCGA.D3.A8GR.06A	0	0	0.0521104538467538	0.00440973152098515	0.0987418474022896	0.0642330229382966	0.214455060930068	0.379657543995488	0.0458513144457653	0	0.140541024920353	0	0.214805899720616	1.00888640903763
TCGA.EE.A3AB.06A	0	0	0.0385447752561493	0.0264633936771424	0	0.0451219283161425	0.490151791763637	0.0599682013725083	0.0538010649788542	0.0159432468889218	0.270005597746645	0	0.555732397057702	0.830552554594815
TCGA.D9.A148.06A	0	0	0.080236965314547	0.137777166451622	0.0469326233040112	0.0495678553677138	0.147197718554648	0.123401884773514	0.0888720493788289	0	0.326013736855116	0	0.498561200483614	0.869559725338524
TCGA.EB.A6R0.01A	0	0	0.0225198723121825	0.294289338537711	0.0527111261595471	0.0400172380061262	0.192714373785348	0.206091326895695	0.0796866916293343	0	0.111970032674056	0	0.633459512638594	0.783005378167545
TCGA.D3.A3CB.06A	0.0510197325595745	0	0.0766999374540597	0.20713733053889	0.0792107064406308	0.0524568080453325	0.19968137627909	0	0.00707567706628401	0.0998722542887047	0.226846177327433	0	0.323628572207649	0.963036541923854
TCGA.EE.A2GK.06A	0.368970209124422	0.12424564679027	0.0184676657684789	0	0.0262731566648389	0.134094550608682	0	0.0537667396254061	0	0.13510124518324	0.139080786234662	0	0.610433406356786	0.791792978914397
