cell	type
F12_P3_M55_L001	CD8_B cells
F12_P4_M55_L001	NK3 cells
F1_P2_M55_L001	B cells
F1_P3_M55_L001	CD8_G cells
F1_P4_M55_L001	CD8_G cells
F2_P2_M55_L001	NK3 cells
F2_P3_M55_L001	CD4 T.reg cells
F2_P4_M55_L001	NK3 cells
F3_P1_M55_L001	CD4 T.reg cells
F3_P2_M55_L001	CD8_B cells
F3_P3_M55_L001	CD4 T.reg cells
F3_P4_M55_L001	B cells
F4_P1_M55_L001	NK3 cells
F4_P2_M55_L001	B cells
F4_P3_M55_L001	CD4 T.reg cells
F4_P4_M55_L001	CD4 T.reg cells
F5_P1_M55_L001	NK1 cells
F5_P2_M55_L001	CD8_B cells
F5_P4_M55_L001	B cells
F6_P1_M55_L001	NK1 cells
F6_P2_M55_L001	B cells
F6_P3_M55_L001	unclustered
F7_P1_M55_L001	CD8_B cells
F7_P2_M55_L001	NK3 cells
F7_P3_M55_L001	Plasma cells
F8_P1_M55_L001	NK3 cells
F8_P2_M55_L001	CD8_B cells
F8_P3_M55_L001	CD8_B cells
F8_P4_M55_L001	CD4 T.mem cells
F9_P1_M55_L001	CD8_B cells
F9_P2_M55_L001	NK2 cells
F9_P3_M55_L001	CD4 T.reg cells
F9_P4_M55_L001	NK2 cells
G10_P1_M55_L001	CD4 T.reg cells
G10_P2_M55_L001	CD4 T.reg cells
G10_P3_M55_L001	CD8_B cells
G10_P4_M55_L001	CD8_G cells
G11_P1_M55_L001	CD4 T.reg cells
