Cell Name,Cluster,ruoyi_cluster
B1_P2_M34,CD8_B,CD8_B
B1_P3_M34,CD8_B,CD8_B
B2_P1_M34,CD8_B,CD8_B
B2_P2_M34,CD8_G,CD8_G
B2_P3_M34,CD8_B,NA
B2_P4_M34,CD8_B,CD8_B
B3_P3_M34,CD8_B,CD8_B
B3_P4_M34,CD8_G,CD8_G
B4_P1_M34,CD8_B,NA
B4_P2_M34,CD8_B,CD8_B
B4_P3_M34,CD8_B,CD8_B
B4_P4_M34,CD8_G,NA
B5_P1_M34,CD8_B,CD8_B
B5_P2_M34,CD8_G,CD8_G
B5_P3_M34,CD8_B,CD8_B
B5_P4_M34,CD8_B,NA
B6_P2_M34,CD8_B,NA
B6_P3_M34,CD8_B,NA
B6_P4_M34,CD8_B,NA
B7_P1_M34,CD8_B,CD8_B
B7_P2_M34,CD8_B,CD8_B
B7_P3_M34,CD8_B,NA
B8_P1_M34,CD8_B,NA
B8_P4_M34,CD8_G,CD8_G
B9_P1_M34,CD8_B,NA
B9_P2_M34,CD8_B,CD8_B
B9_P3_M34,CD8_B,NA
B9_P4_M34,CD8_B,CD8_B
C10_P1_M34,CD8_B,CD8_B
C10_P2_M34,CD8_B,CD8_B
C10_P4_M34,CD8_B,CD8_B
C11_P3_M34,CD8_B,NA
C12_P1_M34,CD8_B,CD8_B
C12_P2_M34,CD8_B,NA
C12_P3_M34,CD8_B,CD8_B
C12_P4_M34,CD8_B,NA
C1_P1_M34,CD8_B,NA
C1_P4_M34,CD8_G,NA
C2_P3_M34,CD8_B,NA
C3_P3_M34,CD8_G,CD8_G
C3_P4_M34,CD8_G,CD8_G
C4_P3_M34,CD8_B,NA
C4_P4_M34,CD8_B,CD8_B
C5_P2_M34,CD8_G,NA
C6_P1_M34,CD8_B,CD8_B
C6_P2_M34,CD8_G,CD8_G
C7_P3_M34,CD8_B,CD8_B
C8_P1_M34,CD8_G,CD8_G
C8_P2_M34,CD8_B,CD8_B
C8_P3_M34,CD8_B,CD8_B
C8_P4_M34,CD8_G,CD8_G
C9_P1_M34,CD8_B,CD8_B
C9_P2_M34,CD8_G,CD8_G
C9_P3_M34,CD8_G,CD8_G
C9_P4_M34,CD8_B,CD8_B
D10_P1_M34,CD8_G,CD8_G
D10_P2_M34,CD8_G,CD8_G
D10_P3_M34,CD8_B,CD8_B
D11_P1_M34,CD8_B,CD8_B
D12_P2_M34,CD8_B,CD8_B
D1_P1_M34,CD8_B,CD8_B
D1_P2_M34,CD8_G,CD8_G
D1_P3_M34,CD8_G,CD8_G
D2_P4_M34,CD8_B,CD8_B
D4_P3_M34,CD8_B,CD8_B
D4_P4_M34,CD8_B,CD8_B
D5_P1_M34,CD8_B,CD8_B
D5_P2_M34,CD8_G,CD8_G
D5_P4_M34,CD8_B,CD8_B
D7_P1_M34,CD8_G,NA
D7_P2_M34,CD8_B,NA
D7_P3_M34,CD8_B,CD8_B
D8_P3_M34,CD8_G,CD8_G
D9_P2_M34,CD8_B,CD8_B
D9_P3_M34,CD8_B,CD8_B
D9_P4_M34,CD8_B,CD8_B
E10_P2_M34,CD8_B,CD8_B
E10_P3_M34,CD8_B,CD8_B
E10_P4_M34,CD8_B,CD8_B
E11_P3_M34,CD8_B,CD8_B
E12_P1_M34,CD8_B,NA
E12_P2_M34,CD8_B,CD8_B
E12_P4_M34,CD8_B,CD8_B
E1_P1_M34,CD8_B,NA
E1_P2_M34,CD8_B,NA
E1_P3_M34,CD8_B,CD8_B
E1_P4_M34,CD8_B,CD8_B
E2_P2_M34,CD8_G,CD8_G
E2_P4_M34,CD8_B,CD8_B
E3_P2_M34,CD8_B,CD8_B
E4_P1_M34,CD8_B,NA
E4_P4_M34,CD8_B,CD8_B
E5_P1_M34,CD8_B,CD8_B
E7_P4_M34,CD8_B,NA
E8_P1_M34,CD8_B,CD8_B
E8_P2_M34,CD8_B,NA
E8_P4_M34,CD8_B,CD8_B
E9_P1_M34,CD8_B,CD8_B
E9_P2_M34,CD8_G,CD8_G
E9_P3_M34,CD8_G,CD8_G
F10_P1_M34,CD8_B,CD8_B
F11_P2_M34,CD8_G,CD8_G
F12_P4_M34,CD8_B,CD8_B
F1_P1_M34,CD8_B,CD8_B
F1_P2_M34,CD8_B,CD8_B
F1_P3_M34,CD8_B,CD8_B
F2_P1_M34,CD8_B,NA
F2_P2_M34,CD8_B,CD8_B
F2_P3_M34,CD8_B,CD8_B
F2_P4_M34,CD8_G,NA
F3_P4_M34,CD8_B,CD8_B
F4_P1_M34,CD8_B,CD8_B
F4_P3_M34,CD8_G,CD8_G
F5_P1_M34,CD8_B,CD8_B
F6_P1_M34,CD8_B,CD8_B
F6_P2_M34,CD8_G,CD8_G
F6_P3_M34,CD8_B,NA
F7_P1_M34,CD8_B,CD8_B
F7_P2_M34,CD8_G,CD8_G
F7_P4_M34,CD8_B,CD8_B
F9_P1_M34,CD8_B,CD8_B
G10_P2_M34,CD8_G,CD8_G
G10_P3_M34,CD8_B,NA
G10_P4_M34,CD8_G,CD8_G
G11_P1_M34,CD8_B,CD8_B
G11_P3_M34,CD8_B,NA
G11_P4_M34,CD8_B,NA
G12_P1_M34,CD8_B,CD8_B
G12_P2_M34,CD8_B,CD8_B
G12_P3_M34,CD8_B,CD8_B
G12_P4_M34,CD8_B,CD8_B
G1_P2_M34,CD8_B,CD8_B
G2_P1_M34,CD8_G,CD8_G
G4_P1_M34,CD8_B,NA
G4_P3_M34,CD8_B,NA
G5_P3_M34,CD8_G,CD8_G
G5_P4_M34,CD8_B,NA
G6_P1_M34,CD8_B,NA
G7_P1_M34,CD8_B,CD8_B
G8_P1_M34,CD8_B,CD8_B
G8_P2_M34,CD8_B,CD8_B
G8_P3_M34,CD8_B,CD8_B
G9_P3_M34,CD8_B,CD8_B
H10_P1_M34,CD8_G,CD8_G
H10_P2_M34,CD8_G,CD8_G
H11_P3_M34,CD8_B,CD8_B
H11_P4_M34,CD8_B,CD8_B
H12_P3_M34,CD8_B,NA
H12_P4_M34,CD8_B,CD8_B
H1_P3_M34,CD8_B,NA
H3_P1_M34,CD8_B,CD8_B
H4_P3_M34,CD8_B,NA
H4_P4_M34,CD8_B,NA
H5_P1_M34,CD8_B,CD8_B
H5_P2_M34,CD8_B,CD8_B
H5_P4_M34,CD8_B,CD8_B
H6_P1_M34,CD8_B,CD8_B
H6_P2_M34,CD8_B,CD8_B
H6_P4_M34,CD8_B,CD8_B
H7_P2_M34,CD8_B,NA
H7_P3_M34,CD8_B,CD8_B
